Among the Sleep,"October 21, 2021","October 28, 2021"
Stubbs the Zombie in Rebel Without a Pulse,"October 14, 2021","October 21, 2021"
PC Building Simulator,"October 7, 2021","October 14, 2021"
Europa Universalis IV,"September 30, 2021","October 7, 2021"
The Escapists,"September 23, 2021","September 30, 2021"
Speed Brawl,"September 16, 2021","September 23, 2021"
Tharsis,"September 16, 2021","September 23, 2021"
Nioh Complete Edition,"September 9, 2021","September 16, 2021"
Sheltered,"September 9, 2021","September 16, 2021"
Yokus Island Express,"September 2, 2021","September 9, 2021"
Automachef,"August 26, 2021","September 2, 2021"
Void Bastards,"August 19, 2021","August 26, 2021"
Yooka-Laylee,"August 19, 2021","August 26, 2021"
Rebel Galaxy,"August 12, 2021","August 19, 2021"
Minit,"August 5, 2021","August 12, 2021"
A Plague Tale: Innocence,"August 5, 2021","August 12, 2021"
Mothergunship,"July 29, 2021","August 5, 2021"
Train Sim World,"July 29, 2021","August 5, 2021"
Defense Grid: The Awakening,"July 22, 2021","July 29, 2021"
Verdun,"July 22, 2021","July 29, 2021"
Obduction,"July 15, 2021","July 22, 2021"
Offworld Trading Company,"July 15, 2021","July 22, 2021"
Bridge Constructor: The Walking Dead,"July 8, 2021","July 15, 2021"
Ironcast,"July 8, 2021","July 15, 2021"
The Spectrum Retreat,"July 1, 2021","July 8, 2021"
Horizon Chase Turbo,"June 24, 2021","July 1, 2021"
Sonic Mania,"June 24, 2021","July 1, 2021"
Hell is Other Demons,"June 17, 2021","June 24, 2021"
Control,"June 10, 2021","June 17, 2021"
Frostpunk,"June 3, 2021","June 10, 2021"
Among Us,"May 27, 2021","June 3, 2021"
NBA 2K21,"May 20, 2021","May 27, 2021"
The Lions Song,"May 13, 2021","May 20, 2021"
Pine,"May 6, 2021","May 13, 2021"
Idle Champions of the Forgotten Realms,"April 29, 2021","May 6, 2021"
Hand of Fate 2,"April 22, 2021","April 29, 2021"
deponia-the-complete-journey,"April 15, 2021","April 22, 2021"
3 out of 10: Season Two,"April 8, 2021","April 15, 2021"
Tales of the Neon Sea,"April 1, 2021","April 8, 2021"
Creature in the Well,"March 25, 2021","April 1, 2021"
The Fall,"March 18, 2021","March 25, 2021"
Surviving Mars,"March 11, 2021","March 18, 2021"
Wargame: Red Dragon,"March 4, 2021","March 11, 2021"
Sunless Sea,"February 25, 2021","March 4, 2021"
Rage 2,"February 18, 2021","February 25, 2021"
Absolute Drift,"February 18, 2021","February 25, 2021"
Halcyon 6: Lightspeed Edition,"February 4, 2021","February 11, 2021"
For the King,"February 4, 2021","February 11, 2021"
Metro: Last Light Redux,"February 4, 2021","February 11, 2021"
Dandara,"January 28, 2021","February 4, 2021"
Galactic Civilizations 3,"January 21, 2021","January 28, 2021"
Star Wars Battlefront ii,"January 14, 2021","January 21, 2021"
Crying Suns,"January 7, 2021","January 14, 2021"
Jurassic World Evolution,"December 31, 2020","January 7, 2021"
Torchlight II,"December 30, 2020","December 31, 2020"
Solitairica,"December 29, 2020","December 30, 2020"
Stranded Deep,"December 28, 2020","December 29, 2020"
Night in the Woods,"December 27, 2020","December 28, 2020"
My Time at Portia,"December 26, 2020","December 27, 2020"
